Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,EAD*R,Loss,Expected Values
124,21.77,0.95%,0.0067,0.206815,21.563185,0.14447334
125,17.23,9.27%,0.0021,1.597221,15.632779,0.032828836
126,21.67,5.05%,0.0083,1.094335,20.575665,0.17077802
127,23.71,14.67%,0.0002,3.478257,20.231743,0.004046349
128,9.94,32.46%,0.0095,3.226524,6.713476,0.063778022
129,23.44,10.84%,0.0079,2.540896,20.899104,0.165102922
130,4.53,27.94%,0.0039,1.265682,3.264318,0.01273084
131,7.7,36.74%,0.0014,2.82898,4.87102,0.006819428
132,18.7,2.69%,0.005,0.50303,18.19697,0.09098485
133,3.7,33.10%,0.0083,1.2247,2.4753,0.02054499
134,4.61,3.95%,0.0008,0.182095,4.427905,0.003542324
135,12.01,23.40%,0.0028,2.81034,9.19966,0.025759048
136,23.35,36.89%,0.0099,8.613815,14.736185,0.145888232
137,6.95,34.73%,0.0072,2.413735,4.536265,0.032661108
138,8.99,29.33%,0.0073,2.636767,6.353233,0.046378601
139,4.43,21.00%,0.0063,0.9303,3.4997,0.02204811
140,10.27,7.30%,0.0041,0.74971,9.52029,0.039033189
141,22.71,24.70%,0.0067,5.60937,17.10063,0.114574221
142,17.95,38.31%,0.0006,6.876645,11.073355,0.006644013
143,20.48,30.63%,0.0039,6.273024,14.206976,0.055407206
144,19.79,33.64%,0.0042,6.657356,13.132644,0.055157105
145,12.04,14.15%,0.003,1.70366,10.33634,0.03100902
146,6.02,28.75%,0.0049,1.73075,4.28925,0.021017325
147,21.42,20.64%,0.0062,4.421088,16.998912,0.105393254
148,6.41,35.78%,0.008,2.293498,4.116502,0.032932016
149,2.91,6.58%,0.0007,0.191478,2.718522,0.001902965
150,24.69,7.65%,0.0062,1.888785,22.801215,0.141367533
151,20.65,32.09%,0.0095,6.626585,14.023415,0.133222443
152,22.59,10.93%,0.0028,2.469087,20.120913,0.056338556
153,7.85,13.06%,0.0076,1.02521,6.82479,0.051868404
154,15.23,6.70%,0.0035,1.02041,14.20959,0.049733565
155,17.09,37.73%,0.0002,6.448057,10.641943,0.002128389
156,2.28,9.97%,0.0062,0.227316,2.052684,0.012726641
157,18.73,22.53%,0.0049,4.219869,14.510131,0.071099642
158,20.65,12.98%,0.0042,2.68037,17.96963,0.075472446
159,4.31,11.48%,0.0021,0.494788,3.815212,0.008011945
160,15.91,24.35%,0.0023,3.874085,12.035915,0.027682605
161,17.97,19.94%,0.0061,3.583218,14.386782,0.08775937
162,15.48,6.93%,0.0016,1.072764,14.407236,0.023051578
163,18.75,4.93%,0.0017,0.924375,17.825625,0.030303563
164,6.65,27.29%,0.0047,1.814785,4.835215,0.022725511
165,15.94,13.04%,0.0002,2.078576,13.861424,0.002772285
166,6.64,30.41%,0,2.019224,4.620776,0
167,17.29,35.48%,0.0092,6.134492,11.155508,0.102630674
168,21,38.65%,0.0076,8.1165,12.8835,0.0979146
169,5.07,26.56%,0.0091,1.346592,3.723408,0.033883013
170,2.62,26.87%,0.0023,0.703994,1.916006,0.004406814
171,16.14,22.56%,0.0064,3.641184,12.498816,0.079992422
172,1.96,26.50%,0.003,0.5194,1.4406,0.0043218
173,10.48,29.41%,0.0076,3.082168,7.397832,0.056223523
174,20.01,36.15%,0.009,7.233615,12.776385,0.114987465
175,7.4,26.02%,0.0067,1.92548,5.47452,0.036679284
176,23.68,30.66%,0.0045,7.260288,16.419712,0.073888704
177,4.8,36.15%,0.0096,1.7352,3.0648,0.02942208
178,7.34,39.28%,0.0044,2.883152,4.456848,0.019610131
179,21.63,24.63%,0.0092,5.327469,16.302531,0.149983285
180,6.29,4.94%,0.0016,0.310726,5.979274,0.009566838
181,15.18,15.49%,0.003,2.351382,12.828618,0.038485854
182,22.72,1.53%,0.0002,0.347616,22.372384,0.004474477
183,13.28,17.18%,0.0059,2.281504,10.998496,0.064891126
184,2.47,31.07%,0.0046,0.767429,1.702571,0.007831827
185,18.02,14.60%,0.0055,2.63092,15.38908,0.08463994
186,18.3,36.79%,0.0054,6.73257,11.56743,0.062464122
187,10.47,22.89%,0.0062,2.396583,8.073417,0.050055185
188,23.76,0.11%,0.0017,0.026136,23.733864,0.040347569
189,9.02,28.30%,0.0046,2.55266,6.46734,0.029749764
190,10.52,28.79%,0.0057,3.028708,7.491292,0.042700364
191,16.75,22.87%,0.0047,3.830725,12.919275,0.060720593
192,8.05,28.58%,0.0016,2.30069,5.74931,0.009198896
193,23.17,26.33%,0.0067,6.100661,17.069339,0.114364571
194,3.37,11.42%,0.0055,0.384854,2.985146,0.016418303
195,8.79,38.51%,0.0049,3.385029,5.404971,0.026484358
196,5.81,2.84%,0.0075,0.165004,5.644996,0.04233747
197,21.12,31.13%,0.0062,6.574656,14.545344,0.090181133
198,1.61,15.47%,0.0066,0.249067,1.360933,0.008982158
199,5.69,7.61%,0.003,0.433009,5.256991,0.015770973
200,13.74,30.89%,0.0062,4.244286,9.495714,0.058873427
201,14.14,4.67%,0.0039,0.660338,13.479662,0.052570682
202,18.39,6.44%,0.0059,1.184316,17.205684,0.101513536
203,12.38,6.97%,0.001,0.862886,11.517114,0.011517114
204,16.33,21.12%,0.0009,3.448896,12.881104,0.011592994
205,14.06,20.09%,0.0044,2.824654,11.235346,0.049435522
206,1.5,14.73%,0.001,0.22095,1.27905,0.00127905
207,19.49,20.49%,0.0099,3.993501,15.496499,0.15341534
208,11.41,12.84%,0.003,1.465044,9.944956,0.029834868
209,21.18,37.26%,0.0092,7.891668,13.288332,0.122252654
210,19.71,18.65%,0.0054,3.675915,16.034085,0.086584059
211,3.62,7.53%,0.0023,0.272586,3.347414,0.007699052
212,8.08,16.41%,0.0058,1.325928,6.754072,0.039173618
213,14.72,23.82%,0.008,3.506304,11.213696,0.089709568
214,15.17,38.68%,0.0014,5.867756,9.302244,0.013023142
215,13.1,12.87%,0.007,1.68597,11.41403,0.07989821
216,18.51,35.35%,0.0097,6.543285,11.966715,0.116077136
217,9.59,3.24%,0.0012,0.310716,9.279284,0.011135141
218,8.53,33.21%,0.0017,2.832813,5.697187,0.009685218
219,10.46,1.37%,0.0064,0.143302,10.316698,0.066026867
220,14.35,3.28%,0.0093,0.47068,13.87932,0.129077676
221,7.34,3.79%,0.0042,0.278186,7.061814,0.029659619
222,9.67,4.09%,0.0059,0.395503,9.274497,0.054719532
223,10.57,4.11%,0.0079,0.434427,10.135573,0.080071027
224,16.45,20.32%,0.0078,3.34264,13.10736,0.102237408
225,22.45,11.58%,0.0081,2.59971,19.85029,0.160787349
226,8.69,19.33%,0.0089,1.679777,7.010223,0.062390985
227,14.71,31.61%,0.002,4.649831,10.060169,0.020120338
228,11.3,34.09%,0,3.85217,7.44783,0
229,9.45,14.12%,0.004,1.33434,8.11566,0.03246264
230,19.75,38.81%,0.0023,7.664975,12.085025,0.027795558
231,9.31,34.71%,0.0013,3.231501,6.078499,0.007902049
232,1.87,37.17%,0.0051,0.695079,1.174921,0.005992097
233,6.28,13.94%,0.0048,0.875432,5.404568,0.025941926
234,23.05,27.71%,0.0009,6.387155,16.662845,0.014996561
235,17.28,17.96%,0.0022,3.103488,14.176512,0.031188326
236,2.98,35.28%,0.0076,1.051344,1.928656,0.014657786
237,0.09,33.54%,0.0057,0.030186,0.059814,0.00034094
238,2.34,27.12%,0.0064,0.634608,1.705392,0.010914509
239,7.24,25.80%,0.0008,1.86792,5.37208,0.004297664
240,14.18,28.87%,0.0011,4.093766,10.086234,0.011094857
241,19.89,27.58%,0.0056,5.485662,14.404338,0.080664293
242,4.61,30.67%,0.0083,1.413887,3.196113,0.026527738
243,22.55,19.51%,0.0039,4.399505,18.150495,0.070786931
244,14.7,34.72%,0.0019,5.10384,9.59616,0.018232704
245,9.6,5.04%,0.0037,0.48384,9.11616,0.033729792
246,1.51,27.56%,0.0061,0.416156,1.093844,0.006672448
247,22.18,17.54%,0.0006,3.890372,18.289628,0.010973777
248,19.02,34.45%,0.0019,6.55239,12.46761,0.023688459
249,0.3,35.13%,0.0018,0.10539,0.19461,0.000350298
250,2.17,2.64%,0.0059,0.057288,2.112712,0.012465001
251,20.63,36.87%,0.004,7.606281,13.023719,0.052094876
252,12.63,24.75%,0.0007,3.125925,9.504075,0.006652853
253,23.51,31.82%,0.0082,7.480882,16.029118,0.131438768
254,13.39,6.91%,0.0004,0.925249,12.464751,0.0049859
255,12.51,38.56%,0.0015,4.823856,7.686144,0.011529216
256,21.75,2.25%,0.0093,0.489375,21.260625,0.197723813
257,2.08,36.27%,0.0062,0.754416,1.325584,0.008218621
258,0.82,16.07%,0.0031,0.131774,0.688226,0.002133501
259,9.8,4.90%,0.0077,0.4802,9.3198,0.07176246
260,14.3,37.01%,0.0013,5.29243,9.00757,0.011709841
261,23.06,24.36%,0.0047,5.617416,17.442584,0.081980145
262,3.57,13.95%,0.0036,0.498015,3.071985,0.011059146
263,0.52,12.56%,0.0095,0.065312,0.454688,0.004319536
264,5.25,25.19%,0.0038,1.322475,3.927525,0.014924595
265,5.03,37.77%,0.0024,1.899831,3.130169,0.007512406
266,14.67,38.05%,0.0027,5.581935,9.088065,0.024537776
267,20.59,28.61%,0.005,5.890799,14.699201,0.073496005
268,22.42,20.89%,0.0001,4.683538,17.736462,0.001773646
269,18.79,26.90%,0.001,5.05451,13.73549,0.01373549
270,22.11,30.98%,0.0043,6.849678,15.260322,0.065619385
271,2.55,16.07%,0.0081,0.409785,2.140215,0.017335742
272,5.04,10.19%,0.0026,0.513576,4.526424,0.011768702
273,2.31,10.09%,0.0093,0.233079,2.076921,0.019315365
274,15.37,31.97%,0.0004,4.913789,10.456211,0.004182484
275,21.05,29.96%,0.0013,6.30658,14.74342,0.019166446
276,23,31.16%,0.0051,7.1668,15.8332,0.08074932
277,14.81,30.02%,0.0085,4.445962,10.364038,0.088094323
278,22.92,37.66%,0.0067,8.631672,14.288328,0.095731798
279,16.32,10.00%,0.0076,1.632,14.688,0.1116288
280,20.65,25.77%,0.0012,5.321505,15.328495,0.018394194
281,6.99,15.28%,0.0073,1.068072,5.921928,0.043230074
282,12.09,8.21%,0.0089,0.992589,11.097411,0.098766958
283,18.62,1.06%,0.0012,0.197372,18.422628,0.022107154
284,9.49,20.89%,0.0077,1.982461,7.507539,0.05780805
285,10.81,0.90%,0.0068,0.09729,10.71271,0.072846428
286,3.06,2.92%,0.0046,0.089352,2.970648,0.013664981
287,7.65,11.79%,0.0073,0.901935,6.748065,0.049260875
288,18.67,33.79%,0.002,6.308593,12.361407,0.024722814
289,9.98,19.38%,0.0058,1.934124,8.045876,0.046666081
290,11.76,13.70%,0.0054,1.61112,10.14888,0.054803952
291,13.94,25.68%,0.0039,3.579792,10.360208,0.040404811
292,9.54,35.38%,0.0051,3.375252,6.164748,0.031440215
293,1.52,37.79%,0.0019,0.574408,0.945592,0.001796625
294,13.13,16.92%,0.0088,2.221596,10.908404,0.095993955
295,19.85,31.76%,0.0089,6.30436,13.54564,0.120556196
296,9.46,3.70%,0.0031,0.35002,9.10998,0.028240938
297,14.66,7.87%,0.0061,1.153742,13.506258,0.082388174
298,6.46,39.48%,0.0033,2.550408,3.909592,0.012901654
299,14.97,34.05%,0.0092,5.097285,9.872715,0.090828978
300,3.22,21.69%,0.0091,0.698418,2.521582,0.022946396
301,20.57,24.25%,0.0064,4.988225,15.581775,0.09972336
302,17.22,21.78%,0.0094,3.750516,13.469484,0.12661315
303,8.43,21.13%,0.0054,1.781259,6.648741,0.035903201
304,10.55,28.77%,0.001,3.035235,7.514765,0.007514765
305,21.27,37.56%,0.0052,7.989012,13.280988,0.069061138
306,13.69,14.89%,0.0059,2.038441,11.651559,0.068744198
307,12.25,31.68%,0.0096,3.8808,8.3692,0.08034432
308,3.38,10.36%,0.0063,0.350168,3.029832,0.019087942
309,1.66,23.75%,0.0045,0.39425,1.26575,0.005695875
310,7.41,3.09%,0.0084,0.228969,7.181031,0.06032066
311,6.07,25.04%,0.0024,1.519928,4.550072,0.010920173
312,8.11,2.37%,0.0002,0.192207,7.917793,0.001583559
313,20.6,10.27%,0.0087,2.11562,18.48438,0.160814106
314,13.4,16.68%,0.0096,2.23512,11.16488,0.107182848
315,18.16,18.82%,0.006,3.417712,14.742288,0.088453728
316,10.29,26.62%,0.0013,2.739198,7.550802,0.009816043
317,2.98,23.74%,0.0025,0.707452,2.272548,0.00568137
318,13.91,14.85%,0.0059,2.065635,11.844365,0.069881754
319,6.81,33.82%,0.0003,2.303142,4.506858,0.001352057
320,5.88,20.22%,0.002,1.188936,4.691064,0.009382128
321,14.15,33.38%,0.0007,4.72327,9.42673,0.006598711
322,24.88,32.24%,0.0059,8.021312,16.858688,0.099466259
323,12.32,12.58%,0.0084,1.549856,10.770144,0.09046921
324,3.73,4.23%,0.0066,0.157779,3.572221,0.023576659
325,5.62,5.11%,0.0069,0.287182,5.332818,0.036796444
326,18.25,0.93%,0.0056,0.169725,18.080275,0.10124954
327,6.13,22.96%,0.0028,1.407448,4.722552,0.013223146
328,13.23,10.68%,0.0076,1.412964,11.817036,0.089809474
329,19.28,30.00%,0.0068,5.784,13.496,0.0917728
330,13.28,7.09%,0.0063,0.941552,12.338448,0.077732222
331,3.84,37.28%,0.0048,1.431552,2.408448,0.01156055
332,21.84,13.71%,0.0092,2.994264,18.845736,0.173380771
333,17.91,8.13%,0.0082,1.456083,16.453917,0.134922119
334,3.67,13.90%,0.0085,0.51013,3.15987,0.026858895
335,19.08,23.12%,0.0002,4.411296,14.668704,0.002933741
336,20.58,38.02%,0.0065,7.824516,12.755484,0.082910646
337,0.99,30.33%,0.0092,0.300267,0.689733,0.006345544
338,9.13,38.84%,0.0033,3.546092,5.583908,0.018426896
339,24.23,6.66%,0.0099,1.613718,22.616282,0.223901192
340,10.97,39.52%,0.0085,4.335344,6.634656,0.056394576
341,20.23,10.89%,0.0096,2.203047,18.026953,0.173058749
342,8.49,20.49%,0.0046,1.739601,6.750399,0.031051835
343,21.12,20.01%,0.0036,4.226112,16.893888,0.060817997
344,3.78,3.90%,0.0011,0.14742,3.63258,0.003995838
345,16.1,22.54%,0.0052,3.62894,12.47106,0.064849512
346,3.89,13.68%,0.0047,0.532152,3.357848,0.015781886
347,9.09,18.02%,0.0011,1.638018,7.451982,0.00819718
348,3.51,29.99%,0.0076,1.052649,2.457351,0.018675868
349,15.73,33.88%,0.001,5.329324,10.400676,0.010400676
350,1.62,4.79%,0.0048,0.077598,1.542402,0.00740353
351,12.02,15.49%,0.0027,1.861898,10.158102,0.027426875
352,18.82,33.52%,0.0012,6.308464,12.511536,0.015013843
353,8.81,8.92%,0.0083,0.785852,8.024148,0.066600428
354,16.97,33.43%,0.0085,5.673071,11.296929,0.096023897
355,8.23,7.45%,0.0017,0.613135,7.616865,0.012948671
356,4.61,28.55%,0.0049,1.316155,3.293845,0.016139841
357,5.21,34.67%,0.0077,1.806307,3.403693,0.026208436
358,21.55,27.47%,0.0059,5.919785,15.630215,0.092218269
359,8.45,8.21%,0.0035,0.693745,7.756255,0.027146893
360,10.16,17.22%,0.0059,1.749552,8.410448,0.049621643
361,20.56,10.63%,0.0085,2.185528,18.374472,0.156183012
362,12.55,1.86%,0.0006,0.23343,12.31657,0.007389942
363,14.71,6.77%,0.002,0.995867,13.714133,0.027428266
364,0.48,18.77%,0.0065,0.090096,0.389904,0.002534376
365,15.17,28.94%,0.0024,4.390198,10.779802,0.025871525
366,2.03,25.03%,0.0024,0.508109,1.521891,0.003652538
367,2.59,30.20%,0.0042,0.78218,1.80782,0.007592844
368,24.05,13.69%,0.0068,3.292445,20.757555,0.141151374
369,14.22,27.96%,0.0062,3.975912,10.244088,0.063513346
370,19.21,28.45%,0.0035,5.465245,13.744755,0.048106643
371,18.31,30.91%,0.0059,5.659621,12.650379,0.074637236
372,17.45,20.59%,0.001,3.592955,13.857045,0.013857045
373,9.12,32.01%,0.0091,2.919312,6.200688,0.056426261
374,1.31,31.71%,0.0024,0.415401,0.894599,0.002147038
375,5.66,39.31%,0.0081,2.224946,3.435054,0.027823937
376,15.01,7.95%,0.0069,1.193295,13.816705,0.095335265
377,10.92,15.00%,0.0062,1.638,9.282,0.0575484
378,3.05,24.13%,0.007,0.735965,2.314035,0.016198245
379,0.39,35.70%,0.0077,0.13923,0.25077,0.001930929
380,23.23,2.87%,0.0069,0.666701,22.563299,0.155686763
381,13.26,19.48%,0.0053,2.583048,10.676952,0.056587846
382,12.7,24.02%,0.0041,3.05054,9.64946,0.039562786
383,22.58,30.24%,0.0037,6.828192,15.751808,0.05828169
384,19.86,7.27%,0.0045,1.443822,18.416178,0.082872801
385,8.9,2.27%,0.0029,0.20203,8.69797,0.025224113
386,24.28,7.86%,0.0093,1.908408,22.371592,0.208055806
387,13.55,3.86%,0.0037,0.52303,13.02697,0.048199789
388,8.65,4.12%,0.0049,0.35638,8.29362,0.040638738
389,3.4,24.88%,0.0019,0.84592,2.55408,0.004852752
390,22.05,4.03%,0.0059,0.888615,21.161385,0.124852172
391,20.98,26.35%,0.0049,5.52823,15.45177,0.075713673
392,21.26,21.94%,0.0007,4.664444,16.595556,0.011616889
393,2.59,35.57%,0.0005,0.921263,1.668737,0.000834369
394,21.77,31.70%,0.0014,6.90109,14.86891,0.020816474
395,17.66,17.73%,0.0068,3.131118,14.528882,0.098796398
396,5.01,35.97%,0.0027,1.802097,3.207903,0.008661338
397,14.17,31.43%,0.0042,4.453631,9.716369,0.04080875
398,4.15,18.68%,0.0071,0.77522,3.37478,0.023960938
399,11.27,36.62%,0.0076,4.127074,7.142926,0.054286238
400,6.16,29.76%,0.0021,1.833216,4.326784,0.009086246
401,7.46,32.65%,0.0076,2.43569,5.02431,0.038184756
402,8.37,33.23%,0.0084,2.781351,5.588649,0.046944652
403,21.24,38.76%,0.0023,8.232624,13.007376,0.029916965
404,10,37.05%,0.0007,3.705,6.295,0.0044065
405,21.68,37.08%,0.0072,8.038944,13.641056,0.098215603
406,4.29,34.71%,0.0077,1.489059,2.800941,0.021567246
407,20.83,22.25%,0.0078,4.634675,16.195325,0.126323535
408,12.47,6.52%,0.0081,0.813044,11.656956,0.094421344
409,0.4,25.32%,0.0017,0.10128,0.29872,0.000507824
410,15.16,13.04%,0.0095,1.976864,13.183136,0.125239792
411,15.32,36.40%,0.0035,5.57648,9.74352,0.03410232
412,20.3,15.49%,0.0087,3.14447,17.15553,0.149253111
413,22.85,28.12%,0.0091,6.42542,16.42458,0.149463678
414,2.15,23.14%,0.0097,0.49751,1.65249,0.016029153
415,22.73,37.87%,0.0083,8.607851,14.122149,0.117213837
416,22.63,2.74%,0.0015,0.620062,22.009938,0.033014907
417,23.48,39.50%,0.0079,9.2746,14.2054,0.11222266
418,2.23,21.37%,0.0055,0.476551,1.753449,0.00964397
419,1.38,37.92%,0.0096,0.523296,0.856704,0.008224358
420,16.04,18.19%,0.0072,2.917676,13.122324,0.094480733
421,17.37,31.79%,0.0063,5.521923,11.848077,0.074642885
422,4.09,3.06%,0.0002,0.125154,3.964846,0.000792969
423,9.84,28.29%,0.0071,2.783736,7.056264,0.050099474
424,0.88,37.64%,0.0049,0.331232,0.548768,0.002688963
425,24.91,35.30%,0.0075,8.79323,16.11677,0.120875775
426,15.98,20.84%,0.0073,3.330232,12.649768,0.092343306
427,16.38,32.55%,0.0079,5.33169,11.04831,0.087281649
428,15.55,13.85%,0.0039,2.153675,13.396325,0.052245668
429,12.22,0.72%,0.0003,0.087984,12.132016,0.003639605
430,0.91,38.70%,0.0022,0.35217,0.55783,0.001227226
431,12.92,33.15%,0.0037,4.28298,8.63702,0.031956974
432,14.55,6.09%,0.0007,0.886095,13.663905,0.009564734
433,8.76,1.79%,0.0015,0.156804,8.603196,0.012904794
434,16.71,13.29%,0.0036,2.220759,14.489241,0.052161268
435,13.01,30.73%,0.0093,3.997973,9.012027,0.083811851
436,18.33,12.63%,0.0079,2.315079,16.014921,0.126517876
